Wal ^nn++++=Wal,
he ^pp3a+pp3+++=he
asked ^vbd+vsua+tht0+xvbnx+=asked
her ^pp$+pp3+++=her
which ^whp+who+++=which
man ^nn++++=man
to ^to++++=to
hire ^vbi++++=hire.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
barrel ^nn++++=barrel
of ^in++++=of
flour ^nn++++=flour
come ^vb++++=come
cheap ^jj++++=cheap,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
whether ^cs+who+++=whether
cheap ^jj+atrb+++=cheap
flour ^nn++++=flour
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
eatin ^nn+++??+=eatin'.
'. ^nn+++??+=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
hen ^nn++++=hen
looked ^vbd+++xvbn+=looked
melancholy ^jj++++=melancholy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
prescribe ^vb++++=prescribe
moral ^jj+atrb+++=moral
suasion ^nn+++??+=suasion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
things ^nns++++=things
prospered ^vbd+++xvbn+=prospered.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
had ^vb+hv+vrb++=had
peas ^nns++++=peas
climbin ^nn+++??+=climbin'
' ^zz++++=EXTRAWORD
strings ^nns++++=strings
afore ^in++++=afore
anybody ^pn++++=anybody
else ^rb+cnj+++=else's
's ^vbz+bez+aux++0=EXTRAWORD
'd ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
up ^rp++++=up
their ^pp$+pp3+++=their
minds ^nns++++=minds
to ^to++++=to
sprout ^vbi++++=sprout.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
pinks ^vbz+++??+=pinks
along ^in++++=along
the ^ati++++=the
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
sweet ^jj++++=sweet-williams
- ^zz++++=EXTRAWORD
williams ^np++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
stone ^nn++++=stone
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mornin ^nn+++??+=mornin'-glories
'-glories ^nns++++0=EXTRAWORD
clear ^jj++++=clear
to ^in++++=to
the ^ati++++=the
chamber ^nn++++=chamber
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pantry ^nn++++=pantry
shelves ^nns++++=shelves
shone ^vbd+++xvbn+=shone
with ^in++++=with
currant ^jj+atrb+++=currant
jelly ^nn++++=jelly,
, ^zz++++=EXTRAWORD
quince ^nn+++??+=quince
preserve ^nn++++=preserve,
, ^zz++++=EXTRAWORD
pickled ^jj+atrb++xvbn+=pickled
beans ^nns++++=beans,
, ^zz++++=EXTRAWORD
cucumber ^jjr+atrb+++=cucumber
relish ^nn++++=relish,
, ^zz++++=EXTRAWORD
dried ^jj+atrb++xvbn+=dried
apples ^nns++++=apples,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jars ^nns++++=jars
of ^in++++=of
things ^nns++++=things
no ^at++++=no
man ^nn++++=man
ever ^rb++++=ever
notices ^nns++++=notices
till ^cs+sub+++=till
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
none ^rb++++=none.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kept ^vbd+++xvbnx+=kept
accounts ^nns++++=accounts
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
blue ^jj+atrb+++=blue
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Parson ^nn++++=Parson
found ^vbd+vprv++xvbn+=found
at ^rb++++=at
year ^nn++++=year's
's ^$++++=EXTRAWORD
end ^nn++++=end
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
saved ^vprf+++xvbnx+=saved
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
ate ^vprf+++xvbnx+=ate
better ^jjr++++=better
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
made ^vbd+++xvbnx+=made
Jonas ^np+++??+=Jonas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
man ^nn++++=man,
, ^zz++++=EXTRAWORD
hoe ^vb++++=hoe
straight ^jj+atrb+++=straight
rows ^nns++++=rows
by ^in++++=by
jist ^nn++++=jist
standin ^nn+++??+=standin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
one ^cd1++++=one
end ^nn++++=end
and ^cc++++=and
lookin ^nn+++??+=lookin'.
'. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
cured ^vbd+++xvbnx+=cured
the ^ati++++=the
cow ^nn++++=cow
of ^in++++=of
kickin ^nn+++??+=kickin'
' ^zz++++=EXTRAWORD
by ^in++++=by
tyin ^nn+++??+=tyin'
' ^zz++++=EXTRAWORD
a ^at++++=a
soft ^jj+atrb+++=soft
rope ^nn++++=rope
where ^wrb+who+++=where
Jonas ^np+++??+=Jonas
had ^vbd+hvd+aux++=had
used ^vprf+++xvbnx+=used
a ^at++++=a
club ^nn++++=club,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
got ^vbd+++xvbnx+=got
twelve ^cd++++=twelve
turkeys ^nns+++??+=turkeys
from ^in++++=from
the ^ati++++=the
speckled ^jj+atrb++xvbn+=speckled
hen ^nn++++=hen,
, ^zz++++=EXTRAWORD
every ^at++++=every
one ^cd1++++=one
lively ^jj++++=lively,
, ^zz++++=EXTRAWORD
without ^in++++=without
employin ^nn+++??+=employin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
tom ^np++++=tom
for ^in++++=for
anything ^rb++++=anything
but ^rb"++++=but
ornament ^nn+nom+++=ornament.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
ministers ^nns+nom+++=ministers'
' ^zz++++=EXTRAWORD
meetin ^nn+++??+=meetin'.
'. ^nn+++??+=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
eighteen ^cd++++=eighteen
ministers ^nns+nom+++=ministers,
, ^zz++++=EXTRAWORD
with ^in++++=with
several ^ap++++=several
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
two ^cd++++=two
missionaries ^nns++++=missionaries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
professor ^nn++++=professor
from ^in++++=from
Andover ^np+++??+=Andover
who ^whp+rel+subj++=who
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
digest ^vb++++=digest
onions ^nns++++=onions
but ^cc++++=but
always ^rb++++=always
ate ^vbd+++xvbn+=ate
them ^pp3o+pp3+++0='em
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible.
. ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
said ^vbd+vpub+tht0+xvbn+=said
Huldy ^np+++??+=Huldy
would ^md+prd+++=would
never ^rb++splt++=never
manage ^vb++++=manage
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
takes ^vbz++++=takes
experience ^nn+nom+++=experience,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="There'll
there ^ex+pex+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
confusion ^nn++++=confusion."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
baked ^vpsv++agls+xvbnx+=baked
ham ^nn++++=ham,
, ^zz++++=EXTRAWORD
roast ^vb++++=roast
fowl ^nn+++??+=fowl,
, ^zz++++=EXTRAWORD
chicken ^nn++++=chicken
pie ^nn++++=pie,
, ^zz++++=EXTRAWORD
mashed ^jj+atrb++xvbn+=mashed
turnips ^nns++++=turnips,
, ^zz++++=EXTRAWORD
squash ^nn++++=squash,
, ^zz++++=EXTRAWORD
potatoes ^nns++++=potatoes,
, ^zz++++=EXTRAWORD
beans ^nns++++=beans,
, ^zz++++=EXTRAWORD
brown ^jj+atrb+++=brown
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
three ^cd++++=three
kinds ^nns++++=kinds
of ^in++++=of
pickles ^nns+++??+=pickles,
, ^zz++++=EXTRAWORD
mince ^nn++++=mince
pies ^nns++++=pies,
, ^zz++++=EXTRAWORD
apple ^nn++++=apple
pies ^nns++++=pies,
, ^zz++++=EXTRAWORD
Indian ^jj+atrb+++=Indian
pudding ^nn++++=pudding,
, ^zz++++=EXTRAWORD
doughnuts ^nns+++??+=doughnuts,
, ^zz++++=EXTRAWORD
cheese ^nn++++=cheese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coffee ^nn++++=coffee
strong ^jj++++=strong
enough ^qlp++++=enough
to ^to++++=to
carry ^vbi++++=carry
a ^at++++=a
weak ^jj+atrb+++=weak
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
arranged ^vwbn+vsua++xvbn+=arranged
the ^ati++++=the
spare ^jj+atrb+++=spare
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
borrowed ^jj+atrb++xvbn+=borrowed
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
labeled ^j+++xvbn+=labeled
the ^ati++++=the
ministers ^nns+nom+++=ministers'
' ^zz++++=EXTRAWORD
umbrellas ^nns++++=umbrellas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
the ^ati++++=the
onion ^nn++++=onion
dish ^nn++++=dish
down ^in++++=down
by ^in++++=by
the ^ati++++=the
missionary ^nn+nom+++=missionary
where ^wrb+who+++=where
the ^ati++++=the
professor ^nn++++=professor
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
went ^vbd+++xvbn+=went
as ^ql++++=as
smooth ^vb++++=smooth
as ^ql++++=as
oil ^nn++++=oil
on ^in++++=on
a ^at++++=a
warm ^jj+atrb+++=warm
griddle ^nn+++??+=griddle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
professor ^npt++++=professor
praised ^vbd+++xvbn+=praised
the ^ati++++=the
dinner ^nn++++=dinner
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Parson ^np++++=Parson
Carryl ^np+++??+=Carryl
looked ^vbd+++xvbn+=looked
across ^in+pl+++=across
the ^ati++++=the
table ^nn++++=table
at ^in++++=at
Huldy ^np+++??+=Huldy
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
translated ^vprf+++xvbnx+=translated
the ^ati++++=the
whole ^jj+atrb+++=whole
Old ^jj+atrb+++=Old
Testament ^nn+nom+++=Testament
while ^cs+sub+++=while
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
gravy ^nn++++=gravy.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
the ^ati++++=the
women ^nns++++=women
changed ^vbd+++xvbn+=changed
their ^pp$+pp3+++=their
tune ^nn++++=tune.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
she ^pp3a+pp3+++=she
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
capable ^jj++++=capable,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
evidence ^nn+nom+++=evidence
was ^vbd+bedz+vrb++=was
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
askin ^nn+++??+=askin'
' ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
second ^od++++=second
piece ^nn++++=piece
of ^in++++=of
pie ^nn++++=pie.
. ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
begun ^vbd+++xvbnx+=begun
to ^to++++=to
say ^vbi+vpub+tht0++=say
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
too ^ql++++=too
capable ^jj++++=capable
on ^in++++=on
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
come ^vb++++=come
to ^in++++=to
Huldy ^np+++??+=Huldy
one ^cd1++++=one
afternoon ^nn++++=afternoon
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
cuttin ^nn+++??+=cuttin'
' ^zz++++=EXTRAWORD
roses ^nns++++=roses.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^nn++++=dear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
innocent ^jj+pred+++=innocent
of ^in++++=of
the ^ati++++=the
world ^nn++++=world."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mebbe,"
mebbe ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
young ^jj+atrb+++=young
woman ^nn++++=woman
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
too ^ql++++=too
guarded ^jj+++xvbn+=guarded."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
notice ^vb+vprv+++=notice,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
notice ^vb+vprv+++=notice?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
consult ^vb++++=consult
with ^in++++=with
the ^ati++++=the
Parson ^nn++++=Parson.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
he ^pp3a+pp3+++=he
depends ^vbz++++=depends
upon ^in++++=upon
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
you ^pp2+pp2+++=you
sit ^vb++++=sit
together ^nn+nom+++=together
evenings ^nns++++=evenings
over ^in++++=over
accounts ^nns++++=accounts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
generally ^rb+down+++=generally
have ^vb+hv+vrb++=have
the ^ati++++=the
accounts ^nns++++=accounts
between ^in++++=between
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
makes ^vbz++++=makes
it ^pp3+it+++=it
difficult ^jj++++=difficult
to ^to+jcmp+++=to
sit ^vbi++++=sit
much ^ap++++=much
farther ^rbr++++=farther
apart ^rp++++=apart."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
puckered ^vbd+++xvbn+=puckered
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
speak ^vb++++=speak
for ^in++++=for
your ^pp$+pp2+++=your
own ^ap++++=own
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
things ^nns++++=things
make ^vb++++=make
talk ^nn++++=talk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
makes ^vbz++++=makes
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
Wal ^nn++++=Wal,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
too ^ql++++=too
plain ^nn++++=plain
a ^at++++=a
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
betray ^vb++++=betray
confidences ^nns+nom+++=confidences,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
come ^vprf+++xvbn+=come
expressly ^rb++++=expressly
to ^to++++=to
betray ^vbi++++=betray
all ^abn++++=all
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
that ^tht+rel+++=that
Aunt ^nn++++=Aunt
Jerushy ^np+++??+=Jerushy
dropped ^vbd+++xvbn+=dropped
in ^in++++=in
to ^to++++=to
warn ^vbi+vpub+++=warn
Huldy ^np+++??+=Huldy
that ^tht+rel+++=that
young ^jj+atrb+++=young
gals ^nn++++=gals
should ^md+nec+++=should
know ^vb+vprv+tht0++=know
their ^pp$+pp3+++=their
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Blodgett ^np+++??+=Blodgett
wondered ^vbd+vprv++xvbn+=wondered
aloud ^rb++++=aloud
whether ^cs+who+++=whether
the ^ati++++=the
Parson ^np++++=Parson's
's ^$++++=EXTRAWORD
late ^jj+atrb+++=late
wife ^nn++++=wife
would ^md+prd+++=would
approve ^vb++++=approve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
others ^aps++++=others
peeked ^jj+++xvbn+=peeked
and ^cc+phrs+++=and
poked ^jj+++xvbn+=poked
and ^cc+phrs+++=and
sighed ^jj+++xvbn+=sighed
till ^in++++=till
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
sighs ^nns++++=sighs
enough ^qlp++++=enough
to ^to++++=to
drive ^vbi++++=drive
a ^at++++=a
windmill ^nn++++=windmill.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
stood ^vbd+++xvbn+=stood
it ^pp3+it+++=it
awhile ^rb++++=awhile.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed
in ^rb++++=in
public ^rb"++++=public
and ^cc++++=and
worked ^vbd+++xvbn+=worked
as ^ql++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
hurt ^vbd+++xvbn+=hurt
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^vbd+hvd+aux++=EXTRAWORD
loved ^vprf+++xvbnx+=loved
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
folks ^nns++++=folks
thought ^vbd+++xvbn+=thought
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
schemin ^nn+++??+=schemin'
' ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
Parson ^nn++++=Parson
cut ^vbd+++xvbn+=cut
deep ^jj++++=deep.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
she ^pp3a+pp3+++=she
packed ^vbd+++xvbnx+=packed
her ^pp3o+pp3+++=her
trunk ^nn++++=trunk.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
herself ^ppl+pp3+++=herself
how ^wrb+who+++=how
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
folded ^vprf+++xvbnx+=folded
her ^pp$+pp3+++=her
blue ^jj+atrb+++=blue
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
in ^in++++=in
her ^pp3o+pp3+++=her
mother ^npt++++=mother's
's ^$++++=EXTRAWORD
Bible ^nn++++=Bible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
the ^ati++++=the
little ^ap++++=little
account ^nn++++=account
book ^nn++++=book
on ^in++++=on
the ^ati++++=the
Parson ^np++++=Parson's
's ^$++++=EXTRAWORD
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^to++++=to
tell ^vbi++++=tell
him ^pp3o+pp3+++=him
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
leavin ^nn+++??+=leavin'.
'. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
writin ^nn+++??+=writin'
' ^zz++++=EXTRAWORD
a ^at++++=a
sermon ^nn++++=sermon
on ^in++++=on
Christian ^jj+atrb+++=Christian
charity ^nn+nom+++=charity.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
get ^vb++++=get
somebody ^pn++++=somebody
else ^rb+cnj+++=else,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Parson ^nn++++=Parson
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
spectacles ^nns++++=spectacles.
. ^zz++++=EXTRAWORD
" ^zz++++="Somebody
somebody ^pn++++=EXTRAWORD
else ^rb+cnj+++=else
for ^in++++=for
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
Aunt ^nn++++=Aunt
Maria ^np++++=Maria's."
's." ^nn+++??+=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
she ^pp3a+pp3+++=she
ill ^rb++++=ill?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
dissatisfied ^jj++++=dissatisfied?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
twisted ^vbd+++xvbn+=twisted
her ^pp3o+pp3+++=her
apron ^nn++++=apron.
. ^zz++++=EXTRAWORD
" ^zz++++="Folks
folks ^nns++++=EXTRAWORD
are ^vb+ber+vrb++=are
talkin ^nn+++??+=talkin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
folks ^nns++++=folks?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
sorts ^nns++++=sorts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
him ^pp3o+pp3+++=him
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
questioned ^vbd+vpub++xvbnx+=questioned
and ^cc+phrs+++=and
questioned ^vbd+vpub++xvbn+=questioned
till ^cs+sub+++=till
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
Parson ^nn++++=Parson
got ^vbd+++xvbn+=got
up ^rp++++=up
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
from ^in++++=from
the ^ati++++=the
desk ^nn++++=desk
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
mild ^jj+atrb+++=mild
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
ears ^nns++++=ears
