**editor ^nn++++=**EDITOR'S
's ^$++++=EXTRAWORD
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
reached ^vbd+++xvbn+=reached
the ^ati++++=the
road ^npl++++=road
after ^cs+sub+++=after
sunrise ^nn++++=sunrise
and ^cc++++=and
met ^vbd+++xvbn+=met
the ^ati++++=the
sledges ^nns+++??+=sledges
coming ^vwbg+++xvbg+=coming
for ^in++++=for
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
By ^in++++=By
midmorning ^xvbg+++xvbg+=midmorning
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
the ^ati++++=the
hunters ^nns+nom+++=hunters
and ^cc++++=and
thirty ^cd++++=thirty
beaters ^nns+nom+++=beaters.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
explained ^vbd+vpub++xvbn+=explained
where ^wrb+who+whcl++=where
the ^ati++++=the
bear ^vb+vprv+++=bear
lay ^jjb+++xvbn+=lay
and ^cc+phrs+++=and
placed ^jj+++xvbn+=placed
each ^dt++++=each
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forest ^nn++++=forest
inside ^jjb++++=inside
the ^ati++++=the
circle ^nn++++=circle
was ^vbd+bedz+vrb++=was
about ^in++++=about
half ^abn++++=half
a ^at++++=a
mile ^nn++++=mile
across ^in+strn+++=across.
. ^zz++++=EXTRAWORD
On ^in++++=On
one ^cd1++++=one
side ^nn++++=side
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
ravine ^nn++++=ravine,
, ^zz++++=EXTRAWORD
on ^rp++++=on
another ^ppls++++=another
a ^at++++=a
marsh ^npl++++=marsh
covered ^vbd+++xvbn+=covered
with ^in++++=with
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
between ^in++++=between
them ^pp3o+pp3+++=them
stood ^vbd+++xvbn+=stood
a ^at++++=a
dense ^jj+atrb+++=dense
patch ^nn++++=patch
of ^in++++=of
young ^jj+atrb+++=young
firs ^nns+++??+=firs.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
believed ^vbd+vprv++xvbn+=believed
the ^ati++++=the
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
settled ^vprf+++xvbnx+=settled
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
stand ^vb++++=stand
at ^rb++++=at
the ^ati++++=the
lower ^jjr+atrb+++=lower
end ^nn++++=end,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
pass ^vbi++++=pass
near ^rb++++=near
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
wind ^nn++++=wind
comes ^vbz++++=comes
from ^in+ppvb+++=from
that ^dt+dem+++=that
side ^nn++++=side.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
run ^vbi++++=run
into ^in+ppvb+++=into
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
will ^md+prd+++=will
not ^xnot++not++=not
climb ^vb++++=climb
the ^ati++++=the
steep ^jj+atrb+++=steep
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
go ^vb++++=go
along ^in++++=along
the ^ati++++=the
hollow ^nn++++=hollow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
placed ^vwbn+++xvbn+=placed
another ^ppls++++=another
hunter ^np++++=hunter,
, ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei,
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty
paces ^nns++++=paces
to ^in++++=to
my ^pp$+pp1+++=my
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
us ^pp1o+pp1+++=us
two ^cd++++=two
narrow ^jj+atrb+++=narrow
openings ^nns++++=openings
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
shoot ^vb++++=shoot
into ^in++++=into
the ^ati++++=the
firs ^nns+++??+=firs,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Wait
wait ^vb++++=EXTRAWORD
until ^cs+sub+++=until
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him
clearly ^rb++++=clearly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
do ^vb+do+aux++=do
not ^xnot++not++=not
leave ^vb++++=leave
your ^pp$+pp2+++=your
places ^nns++++=places."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
away ^rp+pl+++=away
to ^to++++=to
direct ^vbi+vpub+++=direct
the ^ati++++=the
beaters ^nns+nom+++=beaters.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
loaded ^vbd+++xvbnx+=loaded
my ^pp$+pp1+++=my
gun ^nn++++=gun
and ^cc++++=and
brushed ^jj+atrb++xvbn+=brushed
snow ^nn++++=snow
from ^in++++=from
a ^at++++=a
fallen ^vprf+++xvbn+=fallen
trunk ^nn++++=trunk
so ^ql++++=so
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
might ^md+pos+++=might
rest ^vb++++=rest
the ^ati++++=the
barrels ^nns++++=barrels
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forest ^nn++++=forest
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Hoar ^np+++??+=Hoar-frost
- ^zz++++=EXTRAWORD
frost ^np++++=EXTRAWORD
fell ^vbd+++xvbn+=fell
from ^in++++=from
the ^ati++++=the
branches ^nns++++=branches
in ^in++++=in
small ^jj+atrb+++=small
showers ^nns+nom+++=showers.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
far ^rb+pl+++=far
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me
a ^at++++=a
man ^nn++++=man
coughed ^vbd+++xvbn+=coughed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
beaters ^nns+nom+++=beaters
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
only ^rb+down+++=only
a ^at++++=a
faint ^nn++++=faint
call ^vb++++=call.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
voice ^nn++++=voice
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
shouts ^vbz++++=shouts
across ^in+pl+++=across
the ^ati++++=the
whole ^jj+atrb+++=whole
upper ^jjb+atrb+++=upper
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
out ^rp+pl+++=out!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
out ^rp+pl+++=out!
! ^zz++++=EXTRAWORD
Hey ^uh++++=Hey,
, ^zz++++=EXTRAWORD
bear ^vb+vprv+++=bear!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sticks ^vbz++++=Sticks
struck ^vprf+++xvbn+=struck
tree ^nn++++=tree
trunks ^nns++++=trunks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
moved ^vbd+++xvbn+=moved
slowly ^rb++++=slowly
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
strongly ^rb+amp+++=strongly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
first ^od++++=first
at ^rb++++=at
one ^cd1++++=one
opening ^nvbg+++xvbg+=opening,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^in++++=at
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
dark ^jj+atrb+++=dark
stump ^nn++++=stump
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
move ^vbi++++=move.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
lump ^nn++++=lump
of ^in++++=of
snow ^nn++++=snow
fell ^vbd+++xvbn+=fell
from ^in++++=from
a ^at++++=a
fir ^nn++++=fir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
my ^pp$+pp1+++=my
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
A ^at++++=A
magpie ^nn+++??+=magpie
flew ^vbd+++xvbn+=flew
over ^in++++=over
the ^ati++++=the
thicket ^nn++++=thicket
and ^cc++++=and
settled ^vpsv++agls+xvbn+=settled
in ^in++++=in
a ^at++++=a
birch ^nn++++=birch.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
cocked ^vbd+++xvbn+=cocked
its ^pp$+it+++=its
tail ^nn++++=tail
and ^cc++++=and
looked ^vbd+++xvbn+=looked
downward ^jjb++++=downward.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
The ^ati++++=The
magpie ^nn+++??+=magpie
flew ^vbd+++xvbn+=flew
to ^in++++=to
another ^dt++++=another
tree ^nn++++=tree
and ^cc++++=and
again ^rb+tm+++=again
looked ^vbd+++xvbn+=looked
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
rose ^vbd+++xvbn+=rose
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
a ^at++++=a
harsh ^jj+atrb+++=harsh
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
moment ^nn++++=moment
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
a ^at++++=a
branch ^nn++++=branch
break ^vb++++=break.
. ^zz++++=EXTRAWORD
A ^at++++=A
black ^jj+atrb+++=black
shape ^nn++++=shape
moved ^vbd+++xvbn+=moved
between ^in++++=between
the ^ati++++=the
firs ^nns+++??+=firs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
head ^nn++++=head,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
lost ^vbd+++xvbn+=lost
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
running ^nvbg+++xvbg+=running.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stepped ^vbd+++xvbnx+=stepped
into ^in++++=into
the ^ati++++=the
first ^rb++++=first
opening ^nvbg+++xvbg+=opening,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
sideways ^jjb++++=sideways,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
toward ^in++++=toward
the ^ati++++=the
beaters ^nns+nom+++=beaters.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fired ^vbd+++xvbnx+=fired
too ^ql++++=too
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smoke ^nn++++=smoke
hid ^vbd+++xvbn+=hid
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
Sergei ^np+++??+=Sergei
fire ^nn++++=fire
almost ^rb+hdg+++=almost
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
gave ^vbd+++xvbn+=gave
a ^at++++=a
short ^jj+atrb+++=short
roar ^nn++++=roar
and ^cc++++=and
disappeared ^vpsv++agls+xvbn+=disappeared
among ^in++++=among
the ^ati++++=the
young ^jj+atrb+++=young
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
" ^zz++++="Missed,"
missed ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
both ^abx++++=both
missed ^jj+++xvbn+=missed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shouting ^nn++++=shouting
stopped ^vbd+++xvbn+=stopped
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
began ^vbd+++xvbn+=began
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reloaded ^vbd+++xvbnx+=reloaded.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
fingers ^nns+nom+++=fingers
were ^vbd+bed+vrb++=were
clumsy ^jj+pred+++=clumsy,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
feel ^vb+vprv+++=feel
the ^ati++++=the
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expected ^vbd+vprv++xvbnx+=expected
the ^ati++++=the
bear ^vb++++=bear
to ^to+vcmp+++=to
pass ^vbi++++=pass
out ^rp+pl+++=out
on ^in++++=on
the ^ati++++=the
far ^rb+pl+++=far
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
minutes ^nns++++=minutes
went ^vwbn+++xvbn+=went
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
A ^at++++=A
beater ^nn++++=beater
shouted ^vbd+vpub++xvbn+=shouted
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
cried ^vb+++xvbn+=cried
that ^tht+vcmp+++=that
the ^ati++++=the
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
back ^rb+phrv+++=back.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
roar ^nn++++=roar
near ^rb++++=near
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
firs ^nns+++??+=firs
shook ^vbd+++xvbn+=shook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bear ^nn++++=bear
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
not ^xnot++not++=not
twenty ^cd++++=twenty
paces ^nns++++=paces
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
covered ^vbd+++xvbn+=covered
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mouth ^nn++++=mouth
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
ears ^nns++++=ears
lay ^vbd+++xvbn+=lay
flat ^nn++++=flat
against ^in++++=against
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
me ^pp1o+pp1+++=me
and ^cc++++=and
came ^vbd+++xvbn+=came
straight ^jj++++=straight
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
run ^vbi++++=run
like ^in++++=like
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
like ^in++++=like
a ^at++++=a
whirlwind ^nn++++=whirlwind,
, ^zz++++=EXTRAWORD
throwing ^vbg+++xvbg+=throwing
snow ^nn++++=snow
from ^in++++=from
under ^in++++=under
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
without ^in++++=without
moving ^xvbg+++xvbg+=moving
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
believe ^vb+vprv+tht0++=believe
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
gun ^nn++++=gun
and ^cc++++=and
fired ^vwbn+++xvbn+=fired.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
stumbled ^vbd+++xvbn+=stumbled
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
fall ^vb++++=fall.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fired ^vbd+++xvbnx+=fired
the ^ati++++=the
second ^od++++=second
barrel ^nn++++=barrel
into ^in++++=into
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
lower ^jjr+atrb+++=lower
jaw ^nn++++=jaw
dropped ^vbd+++xvbn+=dropped
strangely ^rb++++=strangely
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blood ^nn++++=blood
flew ^vbd+++xvbn+=flew
from ^in++++=from
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
to ^to++++=to
run ^vbi++++=run.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
forgotten ^vprf+++xvbnx+=forgotten
the ^ati++++=the
fallen ^vprf+++xvbn+=fallen
trunk ^nn++++=trunk
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
heel ^nn++++=heel
struck ^vbd+++xvbn+=struck
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
backward ^jj++++=backward
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gun ^nn++++=gun
flew ^vbd+++xvbn+=flew
from ^in++++=from
my ^pp$+pp1+++=my
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
bear ^vb+vprv+++=bear
above ^rb++++=above
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
appeared ^vbd+seem++xvbnx+=appeared
enormous ^jj++++=enormous.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
black ^jj+atrb+++=black
body ^nn++++=body
shut ^vbd+++xvbn+=shut
out ^rb+phrv+++=out
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
hot ^jj+atrb+++=hot,
, ^zz++++=EXTRAWORD
rotten ^jj+atrb+++=rotten
smell ^nn++++=smell
from ^in++++=from
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
up ^rb+phrv+++=up
my ^pp$+pp1+++=my
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
struck ^vbd+++xvbnx+=struck
them ^pp3o+pp3+++=them
aside ^rp++++=aside
and ^cc++++=and
fell ^vpsv++agls+xvbn+=fell
upon ^in++++=upon
me ^pp1o+pp1+++=me
with ^in++++=with
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
pressure ^nn++++=pressure.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
breathe ^vb++++=breathe.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fur ^nn++++=fur
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold
and ^cc+phrs+++=and
full ^jj++++=full
of ^in++++=of
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
his ^pp$+pp3+++=his
body ^nn++++=body
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
my ^pp$+pp1+++=my
face ^nn++++=face
in ^in++++=in
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
upper ^jjb+atrb+++=upper
teeth ^nns++++=teeth
press ^nn++++=press
into ^in++++=into
my ^pp$+pp1+++=my
forehead ^nn++++=forehead
and ^cc++++=and
the ^ati++++=the
lower ^jjr+atrb+++=lower
teeth ^nns++++=teeth
beneath ^rb++++=beneath
my ^pp$+pp1+++=my
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bit ^nn++++=bit
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
a ^at++++=a
proper ^jj+atrb+++=proper
hold ^nn++++=hold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
broken ^jj+atrb++xvbn+=broken
jaw ^nn++++=jaw
prevented ^vbd+++xvbn+=prevented
him ^pp3o+pp3+++=him
from ^in++++=from
closing ^xvbg+++xvbg+=closing
his ^pp$+pp3+++=his
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
the ^ati++++=the
teeth ^nns++++=teeth
cut ^vbd+++xvbn+=cut
me ^pp1o+pp1+++=me
like ^in++++=like
knives ^nns++++=knives.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
end ^nn++++=end,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
seeing ^vbg+vprv++xvbg+=seeing
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
blue ^jj+atrb+++=blue
sky ^nn++++=sky
between ^in++++=between
the ^ati++++=the
bear ^nn++++=bear's
's ^$++++=EXTRAWORD
head ^nn++++=head
and ^cc++++=and
a ^at++++=a
branch ^nn++++=branch.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
snow ^nn++++=snow
beside ^in+pl+++=beside
my ^pp$+pp1+++=my
ear ^nn++++=ear
turning ^vwbg+++xvbg+=turning
red ^jj++++=red.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
push ^vbi++++=push
him ^pp3o+pp3+++=him
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
hands ^nns++++=hands
sank ^vbd+++xvbn+=sank
into ^in++++=into
the ^ati++++=the
fur ^nn++++=fur
and ^cc++++=and
had ^vb+hv+vrb++=had
no ^at++++=no
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
Damian ^np++++=Damian's
's ^$++++=EXTRAWORD
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him!
! ^zz++++=EXTRAWORD
Leave ^vb++++=Leave
the ^ati++++=the
master ^nn++++=master,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
devil ^nn++++=devil!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
lifted ^vbd+++xvbn+=lifted
his ^pp$+pp3+++=his
head ^nn++++=head
but ^cc++++=but
kept ^vbd+++xvbn+=kept
one ^cd1++++=one
paw ^npt++++=paw
on ^in++++=on
my ^pp$+pp1+++=my
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
came ^vbd+++xvbn+=came
running ^nvbg+++xvbg+=running
from ^in++++=from
the ^ati++++=the
side ^nn++++=side.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
