# ^zz++++=#
Passing ^vwbg+++xvbg+=Passing
his ^pp$+pp3+++=his
rifle ^nn++++=rifle's
's ^vbz+bez+aux++0=EXTRAWORD
loading ^vbg+++xvbgx+=loading
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
" ^zz++++="Nine,"
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Cartridges?"
cartridges ^vbz+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Men."
men ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Started
started ^vbd+++xvbn+=EXTRAWORD
with ^in++++=with
ten ^cd++++=ten."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Jos
jos ^np++++=EXTRAWORD
makes ^vbz++++=makes
eleven ^cd++++=eleven."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh."
oh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
counted ^vbd+++xvbnx+=counted
ammunition ^nn+nom+++=ammunition.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
them ^pp3o+pp3+++=them
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
forty ^cd++++=forty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
rifle ^nn++++=rifle
cartridges ^nns+++??+=cartridges
and ^cc++++=and
seventeen ^cd++++=seventeen
for ^in++++=for
the ^ati++++=the
six ^cd++++=six-shooters.
- ^zz++++=EXTRAWORD
shooters ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
sounds ^nns++++=sounds
plentiful ^jj++++=plentiful
to ^in++++=to
a ^at++++=a
person ^nn++++=person
sitting ^vwbg+++xvbg+=sitting
safely ^rb++++=safely
at ^in++++=at
a ^at++++=a
table ^nn++++=table.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
sounds ^nns++++=sounds
less ^rbr++++=less
plentiful ^jj++++=plentiful
when ^wrb+who+++=when
nine ^cd++++=nine
men ^nns++++=men
are ^vb+ber+aux++=are
waiting ^vbg+++xvbgx+=waiting
around ^rp++++=around
a ^at++++=a
corner ^nn++++=corner
to ^to++++=to
learn ^vbi+vprv+++=learn
how ^wrb+who+whcl++=how
fast ^rb++++=fast
you ^pp2+pp2+++=you
can ^md+pos+++=can
spend ^vb++++=spend
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clay ^nn++++=clay
walls ^nns++++=walls
turned ^vbd+++xvbn+=turned
gray ^np++++=gray
under ^in++++=under
a ^at++++=a
rising ^jj+++xvbg+=rising
moon ^np++++=moon.
. ^zz++++=EXTRAWORD
Esteban ^np++++=Esteban's
's ^$++++=EXTRAWORD
men ^nns++++=men
fired ^vbd+++xvbn+=fired
occasionally ^rb++++=occasionally
to ^to++++=to
discourage ^nn+nom+++=discourage
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
and ^cc++++=and
Alfred ^np++++=Alfred
replied ^vbd+vpub++xvbn+=replied
only ^rb+down+++=only
when ^wrb+who+++=when
a ^at++++=a
target ^nn++++=target
showed ^vbd+vprv++xvbn+=showed.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
vaquero ^nn++++=vaquero
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
crawl ^vbi++++=crawl
near ^rb++++=near
beneath ^rb++++=beneath
a ^at++++=a
blanket ^nn++++=blanket
dusted ^vbd+++xvbn+=dusted
to ^to++++=to
match ^vbi++++=match
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
let ^vbd+++xvbn+=let
him ^pp3o+pp3+++=him
come ^vprf+++xvbn+=come
within ^in++++=within
twenty ^cd++++=twenty
yards ^nns++++=yards
before ^in++++=before
shooting ^nn++++=shooting.
. ^zz++++=EXTRAWORD
" ^zz++++="Eight,"
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
peered ^vbd+++xvbn+=peered
over ^in++++=over
the ^ati++++=the
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
" ^zz++++="Maybe."
maybe ^rb+hdg+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Seven,
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
particular ^jj+pred+++=particular."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
An ^at++++=An
hour ^nn++++=hour
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
water ^nn++++=water
bottle ^nn++++=bottle
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
lost ^vpsv++agls+xvbnx+=lost
with ^in++++=with
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
saddle ^nn++++=saddle
gear ^nn++++=gear.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
had ^vb+hv+aux++=had
one ^cd1++++=one
swallow ^vb++++=swallow
in ^in++++=in
a ^at++++=a
canteen ^nn++++=canteen.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
divided ^vbd+++xvbnx+=divided
it ^pp3+it+++=it
without ^in++++=without
argument ^nn+nom+++=argument
and ^cc++++=and
each ^dt++++=each
accused ^jj+++xvbn+=accused
the ^ati++++=the
other ^ap++++=other
of ^in++++=of
taking ^xvbg+++xvbg+=taking
too ^ql++++=too
little ^ap++++=little.
. ^zz++++=EXTRAWORD
At ^in++++=At
midnight ^nn++++=midnight
they ^pp3a+pp3+++=they
heard ^vbd+vprv++xvbnx+=heard
hoofbeats ^nns+++??+=hoofbeats
moving ^vwbg+++xvbg+=moving
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Goin'
goin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
for ^in++++=for
more ^ql++++=more
men ^nns++++=men,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
rifles ^nns++++=rifles."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
somebody ^pn++++=somebody
who ^whp+who+++=who
knows ^vbz+vprv+++=knows
the ^ati++++=the
trail ^nn++++=trail
atop ^rb++++=atop
this ^dt+dem+++=this
bluff ^nn++++=bluff."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
rose ^vbd+++xvbn+=rose
perhaps ^rb++++=perhaps
sixty ^cd++++=sixty
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
leaned ^vbd+++xvbnx+=leaned
outward ^jjb++++=outward
on ^in++++=on
the ^ati++++=the
eastern ^jj+atrb+++=eastern
side ^nn++++=side
and ^cc++++=and
were ^vbd+bed+vrb++=were
nearly ^rb+down+++=nearly
sheer ^jjb+pred+++=sheer
on ^in++++=on
the ^ati++++=the
west ^np+pl+++=west.
. ^zz++++=EXTRAWORD
From ^in++++=From
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
could ^md+pos+++=could
shoot ^vb++++=shoot
directly ^rb++++=directly
behind ^in+pl+++=behind
the ^ati++++=the
barricade ^nn+++??+=barricade.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
studied ^vbd+++xvbn+=studied
the ^ati++++=the
pale ^nn++++=pale
clay ^nn++++=clay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dark ^jj+atrb+++=dark
ledges ^nns+++??+=ledges,
, ^zz++++=EXTRAWORD
the ^ati++++=the
narrow ^jj+atrb+++=narrow
seams ^nns++++=seams
made ^vwbn+++xvbn+=made
by ^in++++=by
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="Dawn?"
dawn ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Likely."
likely ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They'll
they ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
over ^in++++=over
us ^pp1o+pp1+++=us
before ^in++++=before
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Likely."
likely ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
cliff ^nn++++=cliff.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
possible ^jj+atrb+++=possible
climb ^nn++++=climb.
. ^zz++++=EXTRAWORD
A ^at++++=A
crack ^nn++++=crack
ran ^vbd+++xvbn+=ran
upward ^jjb++++=upward
behind ^in+pl+++=behind
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
widening ^vbg+++xvbg+=widening
in ^in++++=in
places ^nns++++=places
to ^to++++=to
afford ^vbi++++=afford
a ^at++++=a
grip ^nn++++=grip,
, ^zz++++=EXTRAWORD
narrowing ^vbg+++xvbg+=narrowing
elsewhere ^rb++++=elsewhere
until ^cs+sub+++=until
a ^at++++=a
climber ^nn++++=climber
would ^md+prd+++=would
have ^vb+hv+vrb++=have
to ^in++++=to
trust ^nn++++=trust
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
and ^cc++++=and
the ^ati++++=the
toes ^nns++++=toes
of ^in++++=of
his ^pp$+pp3+++=his
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
No ^at++++=No
large ^jj+atrb+++=large
man ^nn++++=man
could ^md+pos+++=could
pass ^vb++++=pass
the ^ati++++=the
first ^od++++=first
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
small ^jj++++=small
and ^cc++++=and
built ^vpsv++agls+xvbn+=built
with ^in++++=with
none ^rb++++=none
of ^in++++=of
the ^ati++++=the
ornamental ^jj+atrb+++=ornamental
excess ^nn++++=excess
that ^tht+rel+obj++=that
tailors ^nns++++=tailors
value ^nn++++=value,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
cross ^vb++++=cross
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
country ^nn++++=country
westward ^nn++++=westward,
, ^zz++++=EXTRAWORD
descend ^vb++++=descend
beyond ^in++++=beyond
the ^ati++++=the
bluff ^nn++++=bluff
and ^cc++++=and
run ^vpsv++agls+xvbn+=run
to ^in+ppvb+++=to
the ^ati++++=the
Bar ^nn++++=Bar-M.
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Fifteen ^cd++++=Fifteen
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
have ^md"++pmd"++=have
to ^md+nec+++=to
leave ^vb++++=leave
his ^pp$+pp3+++=his
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
gun ^nn++++=gun
belt ^nn++++=belt,
, ^zz++++=EXTRAWORD
chaparajos ^nns+++??+=chaparajos
and ^cc++++=and
possibly ^rb++++=possibly
most ^ap+emph+++=most
of ^in++++=of
his ^pp$+pp3+++=his
skin ^nn++++=skin
upon ^in++++=upon
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
man ^nn++++=man
would ^md+prd+++=would
remain ^vb++++=remain
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
mentioned ^jj+++xvbn+=mentioned
this ^dt+pdem+++=this
immediately ^rb+tm+++=immediately.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
discussed ^vbd+++xvbnx+=discussed
the ^ati++++=the
route ^nn++++=route,
, ^zz++++=EXTRAWORD
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ammunition ^nn+nom+++=ammunition,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon
and ^cc++++=and
the ^ati++++=the
probability ^nn+nom+++=probability
that ^tht+ncmp+++=that
the ^ati++++=the
vaqueros ^nns+++??+=vaqueros
would ^md+prd+++=would
rush ^vb++++=rush
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
heard ^vbd+vprv++xvbnx+=heard
scraping ^nn++++=scraping
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
voices ^nns++++=voices
were ^vbd+bed+vrb++=were
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
a ^at++++=a
difficult ^jj+atrb+++=difficult
division ^nn++++=division
of ^in++++=of
labor ^nn++++=labor.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Alfred ^nn++++=Alfred
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
climb ^vb++++=climb."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
fit ^vb++++=fit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
could ^md+pos+++=could."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbnx+=got
shoulders ^nns+nom+++=shoulders."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
have ^vb+hv+vrb++=have
I ^pp1a+pp1+++=I."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
noticeable ^jj++++=noticeable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Yo'
yo ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
laigs ^nns+++??+=laigs
is ^vbz+bez+vrb++=is
longer ^rbr++++=longer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
make ^vb++++=make
the ^ati++++=the
ranch ^nn++++=ranch
faster ^rbr++++=faster."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
carcass ^nns+++??+=carcass
is ^vbz+bez+vrb++=is
narrower ^jjr+pred+++=narrower.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
make ^vb++++=make
the ^ati++++=the
top ^nn++++=top."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Tom
tom ^np++++=EXTRAWORD
" ^zz++++="
" ^zz++++="Cut
cut ^vb+++xvbn+=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
produced ^vbd+++xvbn+=produced
a ^at++++=a
greasy ^jj+atrb+++=greasy
deck ^nn++++=deck
of ^in++++=of
cards ^nns++++=cards
from ^in++++=from
his ^pp$+pp3+++=his
coat ^nn++++=coat
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
them ^pp3o+pp3+++=them
always ^rb+cnj+++=always,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
gambled ^vbd+++xvbnx+=gambled
well ^jj+pred+++=well
but ^cc+cls+++=but
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
disliked ^vbd+++xvbnx+=disliked
being ^vbg+beg++xvbg+=being
without ^in++++=without
a ^at++++=a
method ^nn++++=method
for ^in++++=for
losing ^xvbg+++xvbg+=losing
money ^nn++++=money.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cards ^nns++++=cards
were ^vbd+bed+aux++=were
bent ^vpsv++agls+xvbnx+=bent
and ^cc+phrs+++=and
stained ^vpsv++agls+xvbn+=stained
from ^in++++=from
many ^ap++++=many
camps ^nns++++=camps.
. ^zz++++=EXTRAWORD
" ^zz++++="High
high ^jj++++=EXTRAWORD
stays ^vbz++++=stays,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="High
high ^jj++++=EXTRAWORD
goes ^vbz++++=goes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Man
man ^nn++++=EXTRAWORD
drawin ^nn+++??+=drawin'
' ^zz++++=EXTRAWORD
high ^jj++++=high
wins ^vbz++++=wins
his ^pp$+pp3+++=his
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
Winner ^nn++++=Winner
stays ^vbz++++=stays."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
considered ^vwbn+vprv++xvbn+=considered.
. ^zz++++=EXTRAWORD
A ^at++++=A
fair ^jj+atrb+++=fair
chance ^nn++++=chance
was ^vbd+bedz+vrb++=was
a ^at++++=a
thing ^nn++++=thing
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
nodded ^vbd+++xvbnx+=nodded.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
shuffled ^vbd+++xvbn+=shuffled
behind ^in+pl+++=behind
the ^ati++++=the
dead ^jj+atrb+++=dead
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
Tom ^np++++=Tom
had ^vbd+hvd+aux++=had
performed ^vprf+++xvbnx+=performed
card ^nn++++=card
tricks ^nns++++=tricks
in ^in++++=in
Dodge ^nn++++=Dodge
City ^nn++++=City
during ^in++++=during
a ^at++++=a
period ^nn++++=period
of ^in++++=of
unemployment ^nn+nom+++=unemployment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
bring ^vb++++=bring
an ^at++++=an
ace ^nn++++=ace
to ^in++++=to
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
deal ^nn++++=deal
himself ^ppl+pp3+++=himself
a ^at++++=a
full ^jj+atrb+++=full
house ^nn++++=house
or ^cc++++=or
cause ^nn++++=cause
the ^ati++++=the
jack ^np++++=jack
of ^in++++=of
diamonds ^nns++++=diamonds
to ^to++++=to
appear ^vbi+seem+++=appear
wherever ^nn+nom+++=wherever
it ^pp3+it+++=it
would ^md+prd+++=would
do ^vb+do+vrb++=do
the ^ati++++=the
most ^ql+emph+++=most
harm ^vb++++=harm.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
knew ^vbd+vprv++xvbn+=knew
none ^rb++++=none
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
always ^rb++++=always
supposed ^jj+++xvbn+=supposed
Tom ^np++++=Tom
too ^rb++++=too
honest ^jj++++=honest
to ^to++++=to
cheat ^vbi++++=cheat
a ^at++++=a
friend ^nn++++=friend
and ^cc++++=and
too ^rb++++=too
clumsy ^jj++++=clumsy
to ^to++++=to
cheat ^vbi++++=cheat
anyone ^pn++++=anyone
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
spread ^vbd+++xvbn+=spread
the ^ati++++=the
cards ^nns++++=cards
face ^nn++++=face
down ^rp++++=down
across ^in+pl+++=across
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
drew ^vbd+++xvbn+=drew
the ^ati++++=the
nine ^cd++++=nine
of ^in++++=of
clubs ^nns++++=clubs.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
reached ^vbd+++xvbn+=reached
for ^in++++=for
a ^at++++=a
card ^nn++++=card,
, ^zz++++=EXTRAWORD
hesitated ^j+++xvbn+=hesitated,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
up ^rb+phrv+++=up
the ^ati++++=the
jack ^np++++=jack
of ^in++++=of
diamonds ^nns++++=diamonds.
. ^zz++++=EXTRAWORD
" ^zz++++="Jack
jack ^np++++=EXTRAWORD
takes ^vbz++++=takes
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
stared ^vbd+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
two ^cd++++=two
cards ^nns++++=cards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^np++++=moon
made ^vbd+++xvbn+=made
the ^ati++++=the
diamond ^nn++++=diamond
look ^vb++++=look
black ^jj++++=black.
. ^zz++++=EXTRAWORD
" ^zz++++="Again."
again ^rb+tm+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
cut ^nn+++xvbn+=cut."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
always ^rb++++=always
play ^vb++++=play
one ^cd1++++=one
cut ^nn+++xvbn+=cut."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred's
's ^$++++=EXTRAWORD
jaw ^nn++++=jaw
tightened ^vbd+++xvbn+=tightened.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
fool ^nn++++=fool."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Frequently."
frequently ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
run ^vb+++xvbn+=run
farther ^rbr++++=farther."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
climb ^vb++++=climb."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
stay ^vb++++=stay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Lost
lost ^vbd+++xvbn+=EXTRAWORD
the ^ati++++=the
draw ^nn++++=draw."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
heroics ^nns++++=heroics,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
No ^at++++=No
embracing ^nvbg+++xvbg+=embracing,
, ^zz++++=EXTRAWORD
no ^at++++=no
speeches ^nns++++=speeches
about ^in++++=about
mothers ^nns+nom+++=mothers
or ^cc++++=or
flags ^nns++++=flags.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
argued ^vbd+vpub++xvbnx+=argued
rules ^nns++++=rules.
. ^zz++++=EXTRAWORD
A ^at++++=A
shot ^nn++++=shot
struck ^vbd+++xvbn+=struck
the ^ati++++=the
horse ^nn++++=horse
and ^cc++++=and
sent ^vbd+++xvbn+=sent
a ^at++++=a
warm ^jj+atrb+++=warm,
, ^zz++++=EXTRAWORD
unpleasant ^jj+atrb+++=unpleasant
tremor ^nn++++=tremor
through ^in++++=through
their ^pp$+pp3+++=their
shelter ^nn++++=shelter.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
handed ^vbd+++xvbn+=handed
over ^rb+phrv+++=over
his ^pp$+pp3+++=his
pocketknife ^nn+++??+=pocketknife,
, ^zz++++=EXTRAWORD
half ^abn++++=half
the ^ati++++=the
cartridges ^nns+++??+=cartridges
and ^cc++++=and
his ^pp$+pp3+++=his
socks ^nns++++=socks.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
feet ^nns++++=feet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbnx+=got
socks ^nns++++=socks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
four ^cd++++=four.
. ^zz++++=EXTRAWORD
Millionaires ^nns++++=Millionaires
