# ^zz++++=#
Silverhorns ^np+++??+=Silverhorns
prevented ^vpsv++by+xvbn+=prevented
by ^in++++=by
faulty ^jj+atrb+++=faulty
furniture ^nn++++=furniture,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
pronounced ^vbd+++xvbn+=pronounced.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
trailed ^vbd+++xvbn+=trailed
him ^pp3o+pp3+++=him
until ^in++++=until
dark ^jj++++=dark.
. ^zz++++=EXTRAWORD
No ^at++++=No
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
no ^at++++=no
hair ^nn++++=hair;
; ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
but ^cc++++=but
tracks ^nns++++=tracks.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
said ^vbd+vpub+tht0+xvbn+=said
my ^pp$+pp1+++=my
bullet ^nn++++=bullet
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
so ^ql++++=so
close ^vb++++=close
it ^pp3+it+++=it
frightened ^vbd+++xvbn+=frightened
a ^at++++=a
mosquito ^nn+++??+=mosquito
off ^in+pl+++=off
his ^pp$+pp3+++=his
hide ^nn++++=hide."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
guide ^nn++++=guide
must ^md+nec+++=must
comfort ^vb++++=comfort
his ^pp$+pp3+++=his
employer ^nn+nom+++=employer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
next ^ap++++=next
day ^nn++++=day
we ^pp1a+pp1+++=we
built ^vbd+++xvbn+=built
a ^at++++=a
calling ^nn++++=calling
stand ^vb++++=stand
beside ^in+pl+++=beside
Little ^jj+atrb+++=Little
Ghost ^nn++++=Ghost
Lake ^nn++++=Lake.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
heard ^vbd+vprv++xvbn+=heard
Billy ^np++++=Billy
call ^nn++++=call?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf++tht0+xvbnx+=heard
sounds ^nns++++=sounds
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
uses ^vbz++++=uses
a ^at++++=a
cone ^nn++++=cone
of ^in++++=of
birch ^nn++++=birch
bark ^nn++++=bark
five ^cd++++=five
feet ^nns++++=feet
long ^jj++++=long.
. ^zz++++=EXTRAWORD
The ^ati++++=The
note ^nn++++=note
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
from ^in++++=from
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
lonelier ^jjr+pred+++=lonelier
than ^in++++=than
a ^at++++=a
lovesick ^nn+++??+=lovesick
hippopotamus ^nns+++??+=hippopotamus
mourning ^vwbg+++xvbg+=mourning
from ^in++++=from
a ^at++++=a
housetop ^nn+++??+=housetop.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
begins ^vbz++++=begins
in ^in++++=in
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
travels ^nns++++=travels
through ^in++++=through
the ^ati++++=the
listener ^nn+nom+++=listener's
's ^$++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comes ^vbz++++=comes
out ^rp+pl+++=out
somewhere ^rb++++=somewhere
between ^in++++=between
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
blades ^nns++++=blades."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="An
an ^at++++=EXTRAWORD
instrument ^nn+nom+++=instrument
of ^in++++=of
war ^nn++++=war,
, ^zz++++=EXTRAWORD
plainly ^rb++++=plainly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="At
at ^in++++=EXTRAWORD
sunset ^nn++++=sunset
Billy ^np++++=Billy
called ^vbd+++xvbn+=called.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
a ^at++++=a
bull ^np++++=bull
answered ^vbd+vpub++xvbn+=answered
from ^in++++=from
across ^in+pl+++=across
the ^ati++++=the
lake ^nn++++=lake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
bull ^nn++++=bull?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
not ^xnot++not++=not
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mist ^nn++++=mist
was ^vbd+bedz+aux++=was
rising ^vbg+++xvbgx+=rising,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
moon ^np++++=moon
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
cleared ^vbd+++xvbn+=cleared
the ^ati++++=the
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
called ^vbd+++xvbn+=called
twice ^rb++++=twice
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
came ^vbd+++xvbn+=came
a ^at++++=a
crash ^nn++++=crash
among ^in++++=among
the ^ati++++=the
birches ^nns++++=birches,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
minutes ^nns++++=minutes
later ^rbr+tm+++=later
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
water ^nn++++=water."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Swimming?"
swimming ^nvbg+++xvbg+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wading
wading ^vbg+++xvbg+=EXTRAWORD
along ^in++++=along
the ^ati++++=the
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
Slosh ^np+++??+=Slosh
slosh ^nn+++??+=slosh
slosh ^nn+++??+=slosh.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
step ^vb++++=step
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mist ^nn++++=mist
lay ^vbd+++xvbn+=lay
white ^jj++++=white
over ^in++++=over
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
spruces ^nns+++??+=spruces
beyond ^in++++=beyond
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black
as ^ql++++=as
ink ^nn++++=ink.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
hear ^vb+vprv+++=hear
drops ^nns++++=drops
falling ^vwbg+++xvbg+=falling
from ^in++++=from
his ^pp$+pp3+++=his
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
antlers ^nns+nom+++=antlers
striking ^vwbg+++xvbg+=striking
brush ^nn++++=brush:
: ^zz++++=EXTRAWORD
thud ^vb++++=thud
thud ^vb++++=thud
thud ^vb++++=thud.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
whispered ^vbd+++xvbn+=whispered,
, ^zz++++=EXTRAWORD
' ^zz++++='Big
big ^jj+atrb+++=EXTRAWORD
one. ^nn+++??+=one.'"
'" ^nn+++??+=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
had ^vbd+hvd+aux++=had
deduced ^vprf+++xvbnx+=deduced
that ^tht+vcmp+++=that
from ^in++++=from
the ^ati++++=the
violins ^nns++++=violins,
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knelt ^vbd+++xvbnx+=knelt
behind ^in+pl+++=behind
the ^ati++++=the
screen ^nn++++=screen
with ^in++++=with
the ^ati++++=the
rifle ^nn++++=rifle
ready ^jj++++=ready.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sound ^nn++++=sound
approached ^vbd+++xvbn+=approached
until ^cs+sub+++=until
it ^pp3+it+++=it
seemed ^vbd+seem+tht0+xvbn+=seemed
he ^pp3a+pp3+++=he
must ^md+nec+++=must
be ^vb+be+vrb++=be
within ^in++++=within
twenty ^cd++++=twenty
yards ^nns++++=yards,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
darkness ^nns+nom+++=darkness
comes ^vbz++++=comes
beside ^in+pl+++=beside
those ^dt+dem+++=those
lakes ^nns++++=lakes
not ^xnot++not++=not
from ^in++++=from
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
world ^nn++++=world
narrows ^nps++++=narrows
to ^in++++=to
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
stump ^nn++++=stump,
, ^zz++++=EXTRAWORD
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
your ^pp$+pp2+++=your
barrel ^nn++++=barrel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
even ^rb++++=even
those ^dt+pdem+++=those
are ^vb+ber+aux++=are
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
bull ^np++++=bull
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
heard ^vbd+vprv+tht0+xvbn+=heard
him ^pp3o+pp3+++=him
breathe ^vb++++=breathe.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
gave ^vbd+++xvbn+=gave
the ^ati++++=the
soft ^jj+atrb+++=soft
cow ^nn++++=cow
call ^vb++++=call.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^np++++=bull
answered ^vbd+vpub++xvbn+=answered
with ^in++++=with
a ^at++++=a
grunt ^vprf+++xvbn+=grunt
that ^dt+dem+++=that
made ^vprf+++xvbn+=made
the ^ati++++=the
bark ^nn++++=bark
cone ^nn++++=cone
tremble ^vb++++=tremble
in ^in++++=in
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
cloud ^nn++++=cloud
moved ^vbd+++xvbn+=moved
from ^in++++=from
the ^ati++++=the
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
instant ^nn+nom+++=instant
there ^ex+pex+++=there
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
head ^jjb++++=head
high ^jj++++=high,
, ^zz++++=EXTRAWORD
water ^nn++++=water
streaming ^vwbg+++xvbg+=streaming
from ^in++++=from
his ^pp$+pp3+++=his
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
antlers ^nns+nom+++=antlers
white ^jj++++=white
above ^jjb++++=above
the ^ati++++=the
fog ^nn++++=fog."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
ye ^pp2+pp2+++=ye
shot ^vbd+++xvbn+=shot?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
rifle ^nn++++=rifle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cloud ^nn++++=cloud
returned ^vbd+++xvbn+=returned."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
sighed ^vbd+++xvbn+=sighed
with ^in++++=with
theatrical ^jj+atrb+++=theatrical
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
waited ^vbd+++xvbnx+=waited.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^nn++++=bull
took ^vbd+++xvbn+=took
two ^cd++++=two
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
showed ^vbd+vprv++xvbn+=showed
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
directly ^rb++++=directly
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
canoe ^nn+++??+=canoe,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
drawn ^vprf+++xvbnx+=drawn
among ^in++++=among
the ^ati++++=the
reeds ^nns++++=reeds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
the ^ati++++=the
canoe ^nn+++??+=canoe.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+aux++=Was
it ^pp3+it+++=it
insured ^vbd+++xvbn+=insured?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Before
before ^cs+sub+++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
shift ^vb++++=shift,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
caught ^vbd+++xvbnx+=caught
our ^pp$+pp1+++=our
scent ^nn++++=scent.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
great ^jj++++=great
splash ^vb++++=splash;
; ^zz++++=EXTRAWORD
something ^pn++++=something
struck ^vbd+++xvbn+=struck
the ^ati++++=the
water ^nn++++=water
like ^in++++=like
a ^at++++=a
falling ^jj+atrb++xvbg+=falling
tree ^nn++++=tree;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Second
second ^od++++=EXTRAWORD
murder ^vb++++=murder
frustrated ^vpsv++by+xvbn+=frustrated
by ^in++++=by
astronomy ^nn++++=astronomy
and ^cc++++=and
poor ^jj+atrb+++=poor
parking ^nvbg+++xvbg+=parking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
make ^vb++++=make
it ^pp3+it+++=it
ridiculous ^jj++++=ridiculous
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
magnificent ^jj+pred+++=magnificent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
follies ^nns++++=follies
improve ^vb++++=improve
by ^in++++=by
candlelight ^nn++++=candlelight
and ^cc++++=and
suffer ^vb++++=suffer
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
appeared ^vprf+++xvbnx+=appeared
indifferent ^jj++++=indifferent,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
from ^in++++=from
the ^ati++++=the
injector ^nn++++=injector.
. ^zz++++=EXTRAWORD
" ^zz++++="Dat
dat ^nn+++??+=EXTRAWORD
bull ^np++++=bull,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
know ^vb+vprv+++=know
plenty ^nn++++=plenty,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knew ^vbd+vprv++xvbnx+=knew
enough ^qlp++++=enough
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
canoe ^nn+++??+=canoe
between ^in++++=between
himself ^ppl+pp3+++=himself
and ^cc++++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hemenway ^np++++=Hemenway,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mcleod ^np+++??+=McLeod.
. ^zz++++=EXTRAWORD
" ^zz++++="Which
which ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
more ^rbr++++=more
than ^in++++=than
some ^dti++++=some
men ^nns++++=men
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
drank ^vbd+++xvbn+=drank
the ^ati++++=the
remainder ^nn+nom+++=remainder
of ^in++++=of
his ^pp$+pp3+++=his
coffee ^nn++++=coffee.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
shifted ^vbd+++xvbn+=shifted
camp ^npl++++=camp
two ^cd++++=two
days ^nns++++=days
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
chain ^nn++++=chain
of ^in++++=of
bogs ^nns++++=bogs
beyond ^in++++=beyond
Ghost ^nn++++=Ghost
Lake ^nn++++=Lake
where ^wrb+who+++=where
Billy ^np++++=Billy
believed ^vbd+vprv+tht0+xvbn+=believed
Silverhorns ^np+++??+=Silverhorns
fed ^vbd+++xvbn+=fed
at ^rb++++=at
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
left ^vbd+++xvbn+=left
before ^in++++=before
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Frost ^np++++=Frost
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
dead ^jj+atrb+++=dead
leaf ^nn++++=leaf
was ^vbd+bedz+vrb++=was
stiff ^jj+pred+++=stiff.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
hear ^vb+vprv+tht0++=hear
a ^at++++=a
mouse ^nn++++=mouse
repent ^vb++++=repent
at ^in++++=at
fifty ^cd++++=fifty
yards ^nns++++=yards.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
moved ^vbd+++xvbn+=moved
for ^in++++=for
two ^cd++++=two
hours ^nns++++=hours
and ^cc++++=and
made ^vbd+++xvbn+=made
perhaps ^rb++++=perhaps
half ^rb++++=half
a ^at++++=a
mile ^nn++++=mile."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hunters,"
hunters ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
observed ^vbd+++xvbn+=observed,
, ^zz++++=EXTRAWORD
" ^zz++++="are
are ^vb+ber+vrb++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
men ^nns++++=men
who ^whp+rel+subj++=who
boast ^vb+vpub+++=boast
of ^in++++=of
travelling ^xvbg+++xvbg+=travelling
slowly ^rb++++=slowly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Near
near ^in+pl+++=EXTRAWORD
sunrise ^nn++++=sunrise
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
a ^at++++=a
muskeg ^nn+++??+=muskeg.
. ^zz++++=EXTRAWORD
Fresh ^jj++++=Fresh
tracks ^vbz++++=tracks
crossed ^vprf+++xvbn+=crossed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^np++++=bull
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
not ^xnot++not++=not
ten ^cd++++=ten
minutes ^nns++++=minutes
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
went ^vbd+++xvbn+=went
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
placing ^nvbg+++xvbg+=placing
each ^dt++++=each
moccasin ^nn+++??+=moccasin
as ^ql++++=as
carefully ^rb++++=carefully
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
ground ^nn++++=ground
were ^vbd+bed+aux++=were
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
sleeping ^xvbg+++xvbg+=sleeping
babies ^nns++++=babies.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
last ^rb++++=last.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
a ^at++++=a
hundred ^cd++++=hundred
yards ^nns++++=yards
when ^wrb+who+++=when
Billy ^np++++=Billy
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
pointed ^vbd+++xvbn+=pointed.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
a ^at++++=a
fringe ^nn++++=fringe
of ^in++++=of
tamarack ^nn+++??+=tamarack
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
antlers ^nns+nom+++=antlers
moving ^vwbg+++xvbg+=moving.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^nn++++=bull
was ^vbd+bedz+aux++=was
feeding ^vbg+++xvbgx+=feeding
toward ^in++++=toward
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
touched ^vprf+++xvbnx+=touched
the ^ati++++=the
high ^jj+atrb+++=high
trees ^nns++++=trees;
; ^zz++++=EXTRAWORD
mist ^nn++++=mist
smoked ^vbd+++xvbn+=smoked
off ^in+pl+++=off
the ^ati++++=the
moss ^np++++=moss;
; ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
a ^at++++=a
jay ^np++++=jay
scolded ^vbd+++xvbn+=scolded,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
thought ^nn+++xvbn+=thought
better ^jjr++++=better
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
stood ^vbd+++xvbn+=stood
among ^in++++=among
knee ^nn++++=knee-high
- ^zz++++=EXTRAWORD
high ^jj+atrb+++=EXTRAWORD
bushes ^nns++++=bushes,
, ^zz++++=EXTRAWORD
afraid ^jj++++=afraid
even ^rb++++=even
to ^to++++=to
breathe ^vbi++++=breathe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
antlers ^nns+nom+++=antlers
came ^vbd+++xvbn+=came
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
hump ^nn+++??+=hump
of ^in++++=of
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty
yards ^nns++++=yards.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty.
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty-five."
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np++++=McLeod's
's ^$++++=EXTRAWORD
pipe ^nn++++=pipe
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
notice ^nn++++=notice.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
rifle ^nn++++=rifle.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
a ^at++++=a
small ^jj+atrb+++=small
grey ^jj+atrb+++=grey
moth ^nn++++=moth
flew ^vbd+++xvbn+=flew
into ^in++++=into
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
engineer ^nn+nom+++=engineer
blinked ^vbd+++xvbn+=blinked.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
moth ^nn++++=moth.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
a ^at++++=a
caddis ^nns+++??+=caddis
fly ^vb++++=fly.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
insists ^nns+nom+++=insists
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
moth ^nn++++=moth."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
this ^dt+dem+++=this
creature ^nn++++=creature
took ^vbd+++xvbn+=took
sides ^nns++++=sides?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Decisively.
decisively ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
strangled ^vwbn+++xvbn+=strangled.
. ^zz++++=EXTRAWORD
