Well ^rb+cnj+++=Well,
have ^vbi+vbi+aux++=have
her ^pp$+pp3+++=her
cut ^vbd+++xvbn+=cut.
. ^zz++++=EXTRAWORD
By ^in++++=By
sundown ^nn++++=sundown
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired
and ^cc++++0=an'
irritable ^jj++++=irritable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
never ^rb++splt++=never
met ^vprf+++xvbnx+=met
such ^abl++++=such
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
Sonny ^nn++++=Sonny
was ^vbd+bedz+vrb++=was
high ^jj+pred+++=high-strung.
- ^zz++++=EXTRAWORD
strung ^vwbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
said ^vbd+vpub++xvbn+=said
so ^ql++++=so
was ^vbd+bedz+vrb++=was
a ^at++++=a
fiddle ^nn++++=fiddle
string ^nn++++=string,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
folks ^nns++++=folks
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
it ^pp3+it+++=it
run ^vbd+++xvbn+=run
the ^ati++++=the
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Sonny ^nn++++=Sonny
called ^vbd+++xvbn+=called
down ^rp++++=down,
, ^zz++++=EXTRAWORD
" ^zz++++="Vaccinate
vaccinate ^nn+nom+++=EXTRAWORD
Brindle ^np+++??+=Brindle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
cow ^nn++++=cow.
. ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
far ^rb+pl+++=far
enough ^dt++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Marthy ^np++++=Marthy's
's ^$++++=EXTRAWORD
lower ^jjr+atrb+++=lower
lip ^nn++++=lip
begun ^vbd+++xvbn+=begun
to ^to++++=to
tremble ^vbi++++=tremble.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Doctor,
doctor ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
would ^md+prd+++=would
reconcile ^vb++++=reconcile
him ^pp3o+pp3+++=him
" ^zz++++="
So ^ql++++=So
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^rb++++=a
little ^rb"++++=little
scratch ^nn++++=scratch
on ^in++++=on
Brindle ^np+++??+=Brindle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
switched ^vbd+++xvbnx+=switched
her ^pp3o+pp3+++=her
tail ^nn++++=tail,
, ^zz++++=EXTRAWORD
stepped ^j+++xvbn+=stepped
on ^in++++=on
his ^pp$+pp3+++=his
foot ^nn++++=foot
and ^cc++++0=an'
upset ^vb+++xvbn+=upset
the ^ati++++=the
milk ^nn++++=milk
pail ^nn++++=pail.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
pleased ^vprf+++xvbn+=pleased
Sonny ^nn++++=Sonny,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
reconcile ^vb++++=reconcile
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
the ^ati++++=the
dog ^nn++++=dog,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Pickles ^np+++??+=Pickles
was ^vbd+bedz+aux++=was
vaccinated ^vpsv++agls+xvbnx+=vaccinated
behind ^in+pl+++=behind
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
immune ^jj+pred+++=immune
to ^in++++=to
nearly ^rb+down+++=nearly
everything ^pn++++=everything
except ^in++++=except
fleas ^nns++++=fleas
and ^cc++++0=an'
thunder ^nn++++=thunder.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
gray ^np++++=gray
cat ^nn++++=cat
was ^vbd+bedz+aux++=was
attempted ^vpsv++agls+xvbnx+=attempted,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
objected ^vbd+vpub++xvbnx+=objected
with ^in++++=with
such ^abl++++=such
decision ^nn++++=decision
that ^tht+rel+++=that
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
withdrew ^vbd+++xvbn+=withdrew
professionally ^rb++++=professionally.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
dabbed ^vbd+++xvbn+=dabbed
a ^rb++++=a
little ^rb"++++=little
medicine ^nn++++=medicine
on ^in++++=on
the ^ati++++=the
red ^jj+atrb+++=red
rooster ^nn+nom+++=rooster,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
enough ^qlp++++=enough
to ^in++++=to
damage ^nn++++=damage
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Sonny ^nn++++=Sonny
demanded ^vbd+vsua++xvbn+=demanded
the ^ati++++=the
mule ^nn++++=mule.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
firm ^jj++++=firm.
. ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Solomon
solomon ^np++++=EXTRAWORD
is ^vbz+bez+vrb++=is
valuable ^jj+pred+++=valuable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Sonny ^nn++++=Sonny.
. ^zz++++=EXTRAWORD
Thet ^np+++??+=Thet
struck ^vbd+++xvbn+=struck
Marthy ^np+++??+=Marthy
deep ^jj++++=deep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
A ^at++++=A
child ^nn++++=child
sometimes ^rb++++=sometimes
puts ^vbz++++=puts
a ^at++++=a
case ^nn++++=case
in ^in++++=in
a ^at++++=a
way ^nn++++=way
that ^tht+rel+obj++=that
leaves ^nns++++=leaves
a ^at++++=a
parent ^nn++++=parent
without ^in++++=without
a ^at++++=a
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
morally ^rb++++=morally
speakin ^nn+++??+=speakin',
', ^nn+++??+=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
may ^md+pos+++=may
have ^vb+hv+vrb++=have
two ^cd++++=two
good ^jj+atrb+++=good
ones ^cd1s++++=ones
physically ^rb++++=physically.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
refused ^vbd+++xvbnx+=refused
to ^to+vcmp+++=to
vaccinate ^nn+nom+++=vaccinate
Solomon ^np++++=Solomon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
kicked ^vprf+++xvbnx+=kicked
a ^at++++=a
trace ^nn++++=trace
chain ^nn++++=chain
through ^in++++=through
the ^ati++++=the
barn ^nn++++=barn
wall ^nn++++=wall
the ^ati++++=the
week ^nn++++=week
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
as ^in++++=as
carryin ^nn+++??+=carryin'
' ^zz++++=EXTRAWORD
parental ^jj+atrb+++=parental
sacrifice ^nn++++=sacrifice
too ^ql++++=too
far ^rb+pl+++=far.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
come ^vprf+++xvbn+=come
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
ate ^vbd+++xvbn+=ate
bread ^nn++++=bread
and ^cc++++0=an'
jam ^vb++++=jam
lowered ^vbd+++xvbn+=lowered
to ^in++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
slept ^vpsv++agls+xvbn+=slept
in ^in++++=in
the ^ati++++=the
loft ^nn++++=loft.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy
had ^md"++pmd"++=had
to ^md+nec+++=to
go ^vb++++=go
tend ^vb++++=tend
a ^at++++=a
woman ^nn++++=woman
with ^in++++=with
twins ^nns++++=twins,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
vaccination ^nn+nom+++=vaccination
was ^vbd+bedz+aux++=was
postponed ^vpsv++agls+xvbnx+=postponed.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
days ^nns++++=days
later ^rbr+tm+++=later
Sonny ^nn++++=Sonny
come ^vprf+++xvbn+=come
down ^rp++++=down
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
accord ^nn++++=accord,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
seen ^vbd+vprv++xvbnx+=seen
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
buggy ^nn+++??+=buggy
after ^cs+sub+++=after
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
vanished ^vbd+++xvbnx+=vanished.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
our ^pp$+pp1+++=our
vaccinations ^nns+nom+++=vaccinations
took ^vbd+++xvbn+=took,
, ^zz++++=EXTRAWORD
exceptin ^nn+++??+=exceptin'
' ^zz++++=EXTRAWORD
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
took ^vbd+++xvbn+=took
in ^rb+phrv+++=in
both ^abx++++=both
arms ^nns++++=arms
till ^cs+sub+++=till
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
my ^pp$+pp1+++=my
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Aunt ^nn++++=Aunt
Dicey ^np+++??+=Dicey's,
's, ^nn+++??+=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
was ^vbd+bedz+vrb++=was
judgment ^nn+nom+++=judgment
on ^in++++=on
her ^pp$+pp3+++=her
for ^in++++=for
meddlin ^nn+++??+=meddlin'
' ^zz++++=EXTRAWORD
with ^in++++=with
white ^jj+atrb+++=white
folks ^nns++++=folks'
' ^zz++++=EXTRAWORD
foolishness ^nns+nom+++=foolishness.
. ^zz++++=EXTRAWORD
So ^ql++++=So
when ^wrb+who+++=when
Reverend ^npt++++=Reverend
Vale ^npl++++=Vale
mentioned ^vbd+vpub++xvbn+=mentioned
baptismal ^jj+atrb+++=baptismal
water ^nn++++=water,
, ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
recollected ^vbd+++xvbn+=recollected
every ^at++++=every
scratch ^nn++++=scratch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rector ^npt++++=rector
tried ^vbd+++xvbn+=tried
theology ^nn++++=theology.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
baptism ^nn+nom+++=baptism
was ^vbd+bedz+vrb++=was
an ^at++++=an
outward ^jjb+atrb+++=outward
and ^cc+phrs+++=and
visible ^jj+atrb+++=visible
sign ^nn++++=sign
of ^in++++=of
an ^at++++=an
inward ^jjb+atrb+++=inward
and ^cc+phrs+++=and
spiritual ^jj+atrb+++=spiritual
grace ^nn++++=grace.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
no ^at++++=no
outward ^nn++++=outward
sign ^vb++++=sign.
. ^zz++++=EXTRAWORD
Reverend ^npt++++=Reverend
Vale ^nn++++=Vale
says ^vbz+vpub+tht0++=says
little ^jj+atrb+++=little
children ^nns++++=children
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
into ^in++++=into
Christ ^np++++=Christ's
's ^$++++=EXTRAWORD
flock ^nn++++=flock.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
says ^vbz+vpub+tht0++=says
flocks ^nns++++=flocks
was ^vbd+bedz+vrb++=was
sheep ^nns++++=sheep
and ^cc++++0=an'
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rector ^nn++++=rector
says ^vbz+vpub+tht0++=says
no ^at++++=no
instrument ^nn+nom+++=instrument
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
asked ^vbd+vsua++xvbn+=asked
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
in ^in++++=in
his ^pp$+pp3+++=his
coat ^nn++++=coat
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
turned ^vbd+++xvbn+=turned
out ^rb+phrv+++=out
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
fountain ^nn++++=fountain
pen ^nn++++=pen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Sonny ^nn++++=Sonny
considered ^vwbn+vprv++xvbn+=considered
the ^ati++++=the
shape ^nn++++=shape
suspicious ^jj++++=suspicious.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Reverend ^npt++++=Reverend
Vale ^nn++++=Vale
says ^vbz+vpub+tht0++=says
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
hurry ^np++++=hurry,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
child ^nn++++=child
was ^vbd+bedz+vrb++=was
healthy ^jj+pred+++=healthy
and ^cc+phrs+++0=an'
approaching ^jj+++xvbg+=approaching
the ^ati++++=the
age ^nn++++=age
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
could ^md+pos+++=could
answer ^vb++++=answer
more ^rbr++++=more
intelligently ^rb++++=intelligently
for ^in++++=for
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
favor ^nn++++=favor
that ^tht+rel+++=that
final ^jj+atrb+++=final
phrase ^nn++++=phrase,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
let ^vbd+++xvbn+=let
it ^pp3+it+++=it
pass ^vb++++=pass.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
months ^nns++++=months
Sonny ^nn++++=Sonny
attended ^vbd+++xvbn+=attended
Saint ^npt++++=Saint
Luke ^np++++=Luke's
's ^$++++=EXTRAWORD
unbaptized ^jj+++xvbn+=unbaptized.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learned ^vbd+vprv++xvbnx+=learned
the ^ati++++=the
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hymns ^nns++++=hymns
and ^cc++++0=an'
which ^whp+rel+obj++=which
choir ^nn++++=choir
boy ^nn++++=boy
kept ^vbd+++xvbn+=kept
peppermint ^vbd+++xvbn+=peppermint
in ^in++++=in
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
loved ^vbd+++xvbnx+=loved
the ^ati++++=the
service ^nn++++=service.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
Reverend ^npt++++=Reverend
Vale ^npl++++=Vale
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
preacher ^nn+nom+++=preacher,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++0=an'
would ^md+prd+++=would
follow ^vb+vprv+++=follow
him ^pp3o+pp3+++=him
after ^in++++=after
church ^npl++++=church
askin ^nn+++??+=askin'
' ^zz++++=EXTRAWORD
questions ^nns+nom+++=questions
about ^in++++=about
angels ^nns++++=angels,
, ^zz++++=EXTRAWORD
collection ^nn+nom+++=collection
plates ^nns++++=plates
and ^cc+cls+++0=an'
why ^wrb+who+++=why
the ^ati++++=the
Lord ^npt++++=Lord
let ^vbd+++xvbn+=let
wasps ^nps++++=wasps
get ^vb++++=get
made ^vbd+++xvbn+=made.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
minute ^nn++++=minute
baptism ^nn+nom+++=baptism
was ^vbd+bedz+aux++=was
mentioned ^vpsv++agls+xvbnx+=mentioned,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
both ^abx++++=both
hands ^nns++++=hands
over ^in++++=over
his ^pp$+pp3+++=his
sleeves ^nns++++=sleeves
and ^cc++++0=an'
backed ^vbd+++xvbn+=backed
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
set ^vbd+++xvbnx+=set
out ^rb+phrv+++=out
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
how ^wrb+who+++=how
we ^pp1a+pp1+++=we
all ^abn++++=all
become ^vb++++=become
' ^zz++++='Piscopals,
piscopals ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
here ^rn+pl+++=here
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
got ^vprf+++xvbnx+=got
tangled ^vwbn+++xvbn+=tangled
in ^in++++=in
Doctor ^nn++++=Doctor
Peavy ^np++++=Peavy's
's ^$++++=EXTRAWORD
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
know ^vb+vprv+++=know
the ^ati++++=the
vaccination ^nn+nom+++=vaccination
to ^to++++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
baptism ^nn+nom+++=baptism.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
error ^nn++++=error
grows ^vbz++++=grows
out ^rb+phrv+++=out
of ^in+ppvb+++=of
another ^dt++++=another,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
same ^ap++++=same
as ^ql++++=as
squash ^vb++++=squash
vines ^nns++++=vines
crossin ^nn+++??+=crossin'
' ^zz++++=EXTRAWORD
a ^at++++=a
path ^nn++++=path.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
on ^in++++=on
a ^at++++=a
Thursday ^nr++++=Thursday
in ^in++++=in
August ^nr++++=August,
, ^zz++++=EXTRAWORD
hot ^jj++++=hot
and ^cc++++0=an'
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
playin ^nn+++??+=playin'
' ^zz++++=EXTRAWORD
sawmill ^nn+++??+=sawmill
under ^in++++=under
the ^ati++++=the
back ^jjb+atrb+++=back
porch ^nn++++=porch
with ^in++++=with
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
shingle ^nn++++=shingle.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
knows ^vbz+vprv+++=knows
why ^wrb+who+whcl++=why
a ^at++++=a
child ^nn++++=child
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
use ^vb++++=use
a ^at++++=a
whole ^jj+atrb+++=whole
shingle ^nn++++=shingle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
chooses ^vbz++++=chooses
one ^pn++++=one
with ^in++++=with
splinters ^nns+nom+++=splinters.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
dinner ^nn++++=dinner
he ^pp3a+pp3+++=he
come ^vb++++=come
limpin ^nn+++??+=limpin'
' ^zz++++=EXTRAWORD
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
sayin ^nn+++??+=sayin'
' ^zz++++=EXTRAWORD
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
the ^ati++++=the
porch ^nn++++=porch
had ^vb+hv+vrb++=had
bit ^nn++++=bit
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
set ^vbd+++xvbn+=set
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
table ^nn++++=table
and ^cc++++0=an'
found ^vbd+vprv++xvbn+=found
a ^at++++=a
long ^rb++++=long
splinter ^nn+nom+++=splinter
drove ^vbd+++xvbn+=drove
deep ^jj++++=deep
into ^in++++=into
the ^ati++++=the
ball ^nn++++=ball
of ^in++++=of
his ^pp$+pp3+++=his
foot ^nn++++=foot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
her ^pp$+pp3+++=her
touch ^nn++++=touch
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
the ^ati++++=the
splinter ^nn++++=splinter
belonged ^vbd+++xvbn+=belonged
there ^rn+pl+++=there
and ^cc++++0=an'
he ^pp3a+pp3+++=he
aimed ^vbd+++xvbnx+=aimed
to ^to+vcmp+++=to
keep ^vbi++++=keep
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
tried ^vbd+++xvbn+=tried
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
candy ^nn++++=candy
and ^cc++++0=an'
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
Reason ^nn++++=Reason
failed ^vbd+++xvbn+=failed
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
authority ^nn+nom+++=authority
next ^rb+cnj+++=next,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
candy ^nn++++=candy
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
close ^vb++++=close
his ^pp$+pp3+++=his
toes ^nns++++=toes
tighter ^jjr++++=tighter.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
Aunt ^nn++++=Aunt
Dicey ^np+++??+=Dicey
come ^vb++++=come
up ^rp++++=up
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
dinner ^nn++++=dinner
bell ^nn++++=bell
and ^cc++++0=an'
rang ^vbd+++xvbn+=rang
it ^pp3+it+++=it
sudden ^jj++++=sudden
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
he ^pp3a+pp3+++=he
jumped ^vbd+++xvbnx+=jumped,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
pulled ^vbd+++xvbn+=pulled
the ^ati++++=the
splinter ^nn++++=splinter.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
wicked ^jj++++=wicked-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
piece ^nn++++=piece,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
at ^rb++++=at
one ^cd1++++=one
end ^nn++++=end.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
washed ^vbd+++xvbn+=washed
the ^ati++++=the
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
soaked ^j+++xvbn+=soaked
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
on ^in++++=on
turpentine ^nn++++=turpentine,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
took ^vbd+++xvbn+=took
the ^ati++++=the
turpentine ^nn++++=turpentine
off ^in+pl+++=off
because ^cs+cos+++=because
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carter ^np++++=Carter
said ^vbd+vpub+tht0+xvbn+=said
that ^tht+vcmp+++=that
drove ^vbd+++xvbn+=drove
poison ^nn++++=poison
inward ^jjb++++=inward.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
plantain ^nn+++??+=plantain
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
bacon ^nn++++=bacon
rind ^nn++++=rind,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
poultice ^nn++++=poultice
Aunt ^nn++++=Aunt
Dicey ^np+++??+=Dicey
made ^vbd+++xvbn+=made
without ^in++++=without
revealin ^nn+++??+=revealin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
ingredients ^nns++++=ingredients.
. ^zz++++=EXTRAWORD
By ^in++++=By
bedtime ^nn++++=bedtime
the ^ati++++=the
place ^nn++++=place
was ^vbd+bedz+vrb++=was
red ^jj+pred+++=red.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
swelled ^vpsv++agls+xvbnx+=swelled.
