*[sam ^nn+++??+=*[Sam
Hebrew ^jj++++=Hebrew.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
bronze ^jj+atrb+++=bronze
tom ^np++++=tom-turkey
- ^zz++++=EXTRAWORD
turkey ^nn++++=EXTRAWORD
struttin ^nn+++??+=struttin'
' ^zz++++=EXTRAWORD
round ^in++++=round
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
awful ^jj++++=awful
proud ^jj++++=proud
critter ^jjr++++=critter,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
head ^jjb++++=head
all ^abn++++=all
blue ^jj++++=blue
and ^cc+phrs+++=and
red ^jj++++=red,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
tail ^nn++++=tail
he ^pp3a+pp3+++=he
spread ^vbd+++xvbnx+=spread
out ^rp+pl+++=out
like ^in++++=like
Deacon ^np+++??+=Deacon
Grimes ^np++++=Grimes's
's ^$++++=EXTRAWORD
wife ^nn++++=wife's
's ^vbz+bez+vrb++0=EXTRAWORD
best ^jjt+atrb+++=best
fan ^nn++++=fan.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+vrb++=EXTRAWORD
gobble ^nn+++??+=gobble
at ^rb++++=at
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
men ^nns++++=men,
, ^zz++++=EXTRAWORD
chase ^nn++++=chase
the ^ati++++=the
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
parson ^nn++++=parson
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
waitin ^nn+++??+=waitin'
' ^zz++++=EXTRAWORD
years ^nns++++=years
for ^in++++=for
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
dispute ^vb++++=dispute
doctrine ^nn++++=doctrine
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
turkey ^nn++++=turkey
hens ^nns++++=hens
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
layin ^nn+++??+=layin'
' ^zz++++=EXTRAWORD
careless ^jj++++=careless-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Huldy ^np+++??+=Huldy
had ^vbd+hvd+aux++=had
collected ^vprf+++xvbnx+=collected
two ^cd++++=two
dozen ^cd++++=dozen
eggs ^nns++++=eggs
in ^in++++=in
a ^at++++=a
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
found ^vbd+vprv++xvbn+=found
them ^pp3o+pp3+++0='em
and ^cc++++=and
stood ^vbd+++xvbn+=stood
considerin ^nn+++??+=considerin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="'Huldah,'
' ^zz++++=EXTRAWORD
huldah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='these
these ^dt+dem+++=EXTRAWORD
eggs ^nns++++=eggs
should ^md+nec+++=should
be ^vb+be+aux++=be
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
incubation ^nn+nom+++=incubation.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Where
' ^zz++++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
female ^jj+atrb+++=female
birds ^nns++++=birds?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'One
' ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
was ^vbd+bedz+aux++=was
took ^vpsv++by+xvbnx+=took
by ^in++++=by
a ^at++++=a
fox ^nn++++=fox,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other's ^ap$++++=other's
wanderin ^vb+++??+=wanderin'.
'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
cal ^jj+atrb+++=cal'latin'
'latin' ^nn+++??+=EXTRAWORD
to ^to++++=to
set ^vbi++++=set
the ^ati++++=the
speckled ^jj+atrb++xvbn+=speckled
hen ^nn++++=hen
on ^in++++=on
some ^dti++++=some.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'That
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
appears ^vbz+seem+++=appears
an ^at++++=an
unnecessary ^jj+atrb+++=unnecessary
deviation ^nn+nom+++=deviation
from ^in++++=from
nature ^nn++++=nature,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
eggs ^nns++++=eggs
are ^vb+ber+vrb++=are
turkey ^np++++=turkey
eggs ^nns++++=eggs;
; ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently
a ^at++++=a
turkey ^nn++++=turkey
should ^md+nec+++=should
hatch ^vb++++=hatch
them ^pp3o+pp3+++=them.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
quiet ^jj+atrb+++=quiet
way ^nn++++=way
of ^in++++=of
hern ^nn++++=hern.
. ^zz++++=EXTRAWORD
" ^zz++++="'The
' ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
male ^jj+atrb+++=male
bird ^nn++++=bird,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
larger ^jjr+pred+++=larger,
, ^zz++++=EXTRAWORD
possesses ^nns+nom+++=possesses
greater ^jjr+atrb+++=greater
warmth ^nn++++=warmth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
should ^md+nec+++=should
therefore ^rb+cnj+++=therefore
be ^vb+be+vrb++=be
capable ^jj+pred+++=capable
of ^in++++=of
covering ^xvbg+++xvbg+=covering
a ^at++++=a
larger ^jjr+atrb+++=larger
number ^nn++++=number.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
often ^rb++splt++=often
remarked ^vprf+++xvbnx+=remarked
upon ^in++++=upon
the ^ati++++=the
unequal ^jj+atrb+++=unequal
distribution ^nn+nom+++=distribution
of ^in++++=of
domestic ^jj+atrb+++=domestic
duty ^nn++++=duty
among ^in++++=among
the ^ati++++=the
lower ^jjr+atrb+++=lower
creation ^nn+nom+++=creation.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
bit ^nn++++=bit
her ^pp$+pp3+++=her
lip ^nn++++=lip.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
wonder ^vb++++=wonder
but ^cc+cls+++=but
what ^wdt+who+++=what
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
remarked ^vpsv++agls+xvbnx+=remarked
on ^in++++=on
before ^in+strn+++=before,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="'Bring
' ^zz++++=EXTRAWORD
bring ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
a ^at++++=a
box ^nn++++=box,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
next ^ap++++=next
half ^abn++++=half
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
put ^vbd+++xvbn+=put
a ^at++++=a
bushel ^nn+++??+=bushel
basket ^nn++++=basket
on ^in++++=on
its ^pp$+it+++=its
side ^nn++++=side
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
filled ^j+++xvbn+=filled
it ^pp3+it+++=it
with ^in++++=with
hay ^nn++++=hay,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arranged ^vbd+vsua++xvbn+=arranged
the ^ati++++=the
eggs ^nns++++=eggs
as ^in++++=as
careful ^jj++++=careful
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
congregation ^nn+nom+++=congregation.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
after ^in++++=after
the ^ati++++=the
tom ^np++++=tom.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
tom ^np++++=tom
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
in ^in++++=in
a ^at++++=a
receptive ^jj+atrb+++=receptive
state ^nn++++=state
of ^in++++=of
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
advanced ^vbd+++xvbn+=advanced
slow ^jj++++=slow,
, ^zz++++=EXTRAWORD
sayin ^nn+++??+=sayin',
', ^nn+++??+=EXTRAWORD
' ^zz++++='So,
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
creature ^nn++++=creature,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
holdin ^nn+++??+=holdin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
corn ^nn++++=corn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
turkey ^np++++=turkey
reached ^vbd+++xvbn+=reached
for ^in++++=for
the ^ati++++=the
corn ^nn++++=corn,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
the ^ati++++=the
parson ^nn++++=parson
reached ^vbd+++xvbn+=reached
for ^in++++=for
the ^ati++++=the
turkey ^nn++++=turkey,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
commenced ^vbd+++xvbn+=commenced
sich ^&fw++++=sich
a ^at++++=a
flappin ^nn+++??+=flappin',
', ^nn+++??+=EXTRAWORD
gobblin ^nn+++??+=gobblin',
', ^nn+++??+=EXTRAWORD
runnin ^nn+++??+=runnin',
', ^nn+++??+=EXTRAWORD
dodgin ^nn+++??+=dodgin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
dust ^nn++++=dust-raisin'
- ^zz++++=EXTRAWORD
raisin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
as ^ql++++=as
that ^cs+sub+++=that
barnyard ^nn+++??+=barnyard
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
seen ^vprf+++xvbn+=seen
since ^cs+sub+++=since
the ^ati++++=the
ministerial ^jj+atrb+++=ministerial
association ^nn+nom+++=association
dined ^vbd+++xvbn+=dined
there ^rn+pl+++=there
and ^cc++++=and
Deacon ^np+++??+=Deacon
Grimes ^np++++=Grimes
backed ^vbd+++xvbn+=backed
his ^pp$+pp3+++=his
wagon ^nn++++=wagon
over ^in++++=over
a ^at++++=a
beehive ^nn++++=beehive.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
coat ^nn++++=coat-tails
- ^zz++++=EXTRAWORD
tails ^vbz++++=EXTRAWORD
flew ^vbd+++xvbn+=flew.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
white ^jj+atrb+++=white
hair ^nn++++=hair
stood ^vbd+++xvbn+=stood
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tom ^np++++=tom
went ^vbd+++xvbn+=went
between ^in++++=between
his ^pp$+pp3+++=his
legs ^nns++++=legs
and ^cc++++=and
upset ^jj+++xvbn+=upset
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
bean ^nn++++=bean-poles.
- ^zz++++=EXTRAWORD
poles ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
hired ^jj+atrb++xvbn+=hired
man ^nn++++=man,
, ^zz++++=EXTRAWORD
Enoch ^np++++=Enoch,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
runnin ^nn+++??+=runnin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
bound ^jj+atrb++xvbn+=bound
boy ^nn++++=boy
come ^vprf+++xvbn+=come
runnin ^nn+++??+=runnin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
Huldy ^np+++??+=Huldy
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door
with ^in++++=with
her ^pp$+pp3+++=her
apron ^nn++++=apron
to ^in++++=to
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="'Secure
' ^zz++++=EXTRAWORD
secure ^vb++++=EXTRAWORD
him ^pp3o+pp3+++=him!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
parson ^nn++++=parson.
. ^zz++++=EXTRAWORD
" ^zz++++="Enoch
enoch ^np++++=EXTRAWORD
made ^vbd+++xvbn+=made
a ^at++++=a
dive ^nn++++=dive
and ^cc++++=and
got ^vbd+++xvbn+=got
one ^cd1++++=one
wing ^nn++++=wing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
got ^vbd+++xvbn+=got
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
took ^vbd+++xvbn+=took
the ^ati++++=the
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tom ^np++++=tom
used ^vwbn+++xvbn+=used
his ^pp$+pp3+++=his
neck ^nn++++=neck
and ^cc++++=and
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
them ^pp3o+pp3+++0='em
they ^pp3a+pp3+++=they
carried ^vbd+++xvbnx+=carried
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
barn ^nn++++=barn,
, ^zz++++=EXTRAWORD
upside ^nn++++=upside
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
spread ^j+++xvbn+=spread
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
furious ^jj++++=furious
enough ^qlp++++=enough
to ^in++++=to
have ^vbi+vbi+aux++=have
voted ^vprf+++xvbnx+=voted
against ^in++++=against
infant ^nn++++=infant
baptism ^nn+nom+++=baptism.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
set ^vbd+++xvbnx+=set
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
set ^vbd+++xvbnx+=set
him ^pp3o+pp3+++=him
down ^in++++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
up ^rp++++=up
quicker ^jjr++++=quicker.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson
fetched ^vbd+++xvbn+=fetched
an ^at++++=an
old ^jj+atrb+++=old
splint ^jj+atrb++xvbn+=splint
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
clapped ^j+++xvbn+=clapped
it ^pp3+it+++=it
over ^rp++++=over
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
a ^at++++=a
flat ^nn++++=flat
stone ^nn++++=stone
on ^in++++=on
top ^nn++++=top.
. ^zz++++=EXTRAWORD
" ^zz++++="'There,'
' ^zz++++=EXTRAWORD
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
breathin ^nn+++??+=breathin'
' ^zz++++=EXTRAWORD
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
' ^zz++++='instinct
instinct ^nn++++=EXTRAWORD
must ^md+nec+++=must
now ^rn+tm+splt++=now
resume ^vb++++=resume
its ^pp$+it+++=its
proper ^jj+atrb+++=proper
operation ^nn+nom+++=operation.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Instinct
instinct ^nn++++=EXTRAWORD
resumed ^vbd+++xvbn+=resumed
operation ^nn+nom+++=operation,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
turkey ^np++++=turkey
went ^vbd+++xvbn+=went
round ^rb++++=round
and ^cc++++=and
round ^nn++++=round
under ^in++++=under
the ^ati++++=the
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
fussin ^nn+++??+=fussin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
fuzzlin ^nn+++??+=fuzzlin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
wuzzlin ^nn+++??+=wuzzlin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
every ^at++++=every
turn ^nn++++=turn
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
crunch ^nn++++=crunch.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
h ^zz++++=h'isted
'isted ^vprf+++xvbn+0=EXTRAWORD
the ^ati++++=the
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
stone ^nn++++=stone
and ^cc++++=and
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
out ^rp+pl+++=out
backward ^jj++++=backward,
, ^zz++++=EXTRAWORD
dragged ^j+++xvbn+=dragged
it ^pp3+it+++=it
three ^cd++++=three
rods ^nns++++=rods,
, ^zz++++=EXTRAWORD
flew ^j+++xvbn+=flew
over ^in++++=over
the ^ati++++=the
woodpile ^nn+++??+=woodpile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
landed ^vpsv++agls+xvbn+=landed
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain-barrel.
- ^zz++++=EXTRAWORD
barrel ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
him ^pp3o+pp3+++=him
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
enough ^qlp++++=enough
of ^in++++=of
them ^pp3o+pp3+++=them
eggs ^nns++++=eggs
left ^vbd+++xvbn+=left
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
teaspoonful ^nn+nom+++=teaspoonful
of ^in++++=of
custard ^nn+++??+=custard.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
a ^at++++=a
word ^nn++++=word.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wiped ^vbd+++xvbnx+=wiped
the ^ati++++=the
yolk ^nn+++??+=yolk
off ^in+pl+++=off
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve,
, ^zz++++=EXTRAWORD
brushed ^j+++xvbn+=brushed
the ^ati++++=the
hay ^nn++++=hay
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
Enoch ^np++++=Enoch
to ^to++++=to
let ^vbi++++=let
the ^ati++++=the
turkey ^np++++=turkey
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
looked ^vbd+++xvbn+=looked
mournful ^jj++++=mournful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
dignified ^jj++++=dignified.
. ^zz++++=EXTRAWORD
" ^zz++++="'Huldah,'
' ^zz++++=EXTRAWORD
huldah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='the
the ^ati++++=EXTRAWORD
resistance ^nn+nom+++=resistance
of ^in++++=of
the ^ati++++=the
natural ^jj+atrb+++=natural
creature ^nn++++=creature
to ^in++++=to
moral ^jj+atrb+++=moral
responsibility ^nn+nom+++=responsibility
is ^vbz+bez+aux++=is
more ^rbr++splt++=more
deeply ^rb++++=deeply
rooted ^xvbn+++xvbn+=rooted
than ^in++++=than
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
supposed ^vprf+++xvbnx+=supposed.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="Next
next ^ap++++=EXTRAWORD
Sunday ^nr++++=Sunday
he ^pp3a+pp3+++=he
preached ^vbd+++xvbnx+=preached
from ^in++++=from
the ^ati++++=the
text ^nn++++=text,
, ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
whole ^jj+atrb+++=whole
creation ^nn+nom+++=creation
groaneth ^vbz++++=groaneth
and ^cc+phrs+++=and
travaileth ^vbz++++=travaileth,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
made ^vbd+++xvbn+=made
a ^at++++=a
powerful ^jj+atrb+++=powerful
application ^nn+nom+++=application
about ^in++++=about
Adam ^np++++=Adam's
's ^$++++=EXTRAWORD
fall ^nn++++=fall.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
most ^ap+emph+++=most
experimental ^jj+atrb+++=experimental
sermons ^nns++++=sermons.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
Huldy ^np+++??+=Huldy
and ^cc++++=and
Enoch ^np++++=Enoch
knew ^vbd+vprv++xvbn+=knew
how ^wrb+who+whcl++=how
much ^ap++++=much
experiment ^nn+nom+++=experiment
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
lost ^vbd+++xvbn+=lost
all ^abn++++=all
the ^ati++++=the
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++0=She'd
'd ^vbd+hvd+aux++=EXTRAWORD
kept ^vprf+++xvbnx+=kept
eleven ^cd++++=eleven
aside ^rp++++=aside,
, ^zz++++=EXTRAWORD
mistrustin ^nn+++??+=mistrustin'
' ^zz++++=EXTRAWORD
theology ^nn++++=theology
when ^wrb+who+++=when
it ^pp3+it+++=it
got ^vbd+++xvbn+=got
too ^ql++++=too
near ^in+pl+++=near
the ^ati++++=the
hen ^nn++++=hen-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
slipped ^vbd+++xvbnx+=slipped
them ^pp3o+pp3+++0='em
under ^in++++=under
the ^ati++++=the
speckled ^jj+atrb++xvbn+=speckled
hen ^nn++++=hen.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
old ^jj+atrb+++=old
hen ^nn++++=hen
took ^vbd+++xvbn+=took
to ^to+vcmp+++=to
them ^pp3o+pp3+++0='em
with ^in++++=with
Christian ^jj+atrb+++=Christian
patience ^nn+nom+++=patience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
due ^jj+atrb+++=due
time ^nn++++=time
she ^pp3a+pp3+++=she
come ^vb++++=come
sailin ^nn+++??+=sailin'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
with ^in++++=with
ten ^cd++++=ten
little ^ap++++=little
turkeys ^nns+++??+=turkeys
behind ^in+pl+++=behind
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
every ^at++++=every
one ^pn++++=one
as ^in++++=as
pert ^nn++++=pert
as ^in++++=as
a ^at++++=a
grasshopper ^nn+nom+++=grasshopper.
